imei,ts,lat,lon,color,speed
200676,2024-09-14 07:03:42+07:00,-6.348028,106.82802,red,21
200676,2024-09-14 07:04:07+07:00,-6.348349,106.829501,red,17
200676,2024-09-14 07:04:59+07:00,-6.348961,106.83184,red,36
200676,2024-09-14 07:05:04+07:00,-6.349296,106.831973,red,22
200676,2024-09-14 07:05:45+07:00,-6.351046,106.83163,red,0
200676,2024-09-14 07:06:21+07:00,-6.352298,106.831888,red,26
200676,2024-09-14 07:06:36+07:00,-6.353433,106.831773,red,29
200676,2024-09-14 07:06:56+07:00,-6.353873,106.831686,red,13
200676,2024-09-14 07:07:26+07:00,-6.35549,106.83065,red,30
200676,2024-09-14 07:07:36+07:00,-6.356298,106.83013,red,41
200676,2024-09-14 07:07:40+07:00,-6.356599,106.830098,red,40
200676,2024-09-14 07:07:50+07:00,-6.357575,106.83061,red,42
200676,2024-09-14 07:07:55+07:00,-6.35786,106.83086,red,35
200676,2024-09-14 07:08:05+07:00,-6.358158,106.831093,red,7
200676,2024-09-14 07:08:15+07:00,-6.358586,106.831193,red,24
200676,2024-09-14 07:09:15+07:00,-6.360494,106.83157,red,12
200676,2024-09-14 07:10:00+07:00,-6.361193,106.831705,red,0
200676,2024-09-14 07:10:53+07:00,-6.363191,106.831963,red,36
200676,2024-09-14 07:11:33+07:00,-6.36518,106.832176,red,18
200676,2024-09-14 07:12:03+07:00,-6.36752,106.832141,red,42
200676,2024-09-14 07:12:49+07:00,-6.368423,106.831451,red,18
200676,2024-09-14 07:13:19+07:00,-6.370125,106.831033,red,13
200676,2024-09-14 07:14:03+07:00,-6.37128,106.830498,red,33
200676,2024-09-14 07:14:23+07:00,-6.371688,106.829263,red,0
200676,2024-09-14 07:14:43+07:00,-6.371685,106.829126,red,12
200676,2024-09-14 07:14:48+07:00,-6.371661,106.828905,red,16
200676,2024-09-14 07:15:34+07:00,-6.370973,106.826848,red,8
200676,2024-09-14 07:15:59+07:00,-6.369876,106.825863,red,23
200676,2024-09-14 07:16:56+07:00,-6.3679,106.82496,red,33
200676,2024-09-14 07:17:12+07:00,-6.366961,106.824583,red,20
200676,2024-09-14 07:17:48+07:00,-6.366963,106.824035,red,19
200676,2024-09-14 07:18:33+07:00,-6.366135,106.821625,red,0
200676,2024-09-14 07:19:26+07:00,-6.363466,106.822048,red,28
200676,2024-09-14 07:19:41+07:00,-6.36235,106.822446,red,30
200676,2024-09-14 07:19:51+07:00,-6.36169,106.822656,red,27
200676,2024-09-14 07:19:58+07:00,-6.361223,106.822933,red,27
200676,2024-09-14 07:20:04+07:00,-6.361058,106.823248,red,17
200676,2024-09-14 07:20:14+07:00,-6.360943,106.823349,red,2
200676,2024-09-14 07:20:19+07:00,-6.360936,106.823351,red,0
200676,2024-09-14 07:20:29+07:00,-6.360913,106.823393,red,10
200676,2024-09-14 07:20:34+07:00,-6.360861,106.823498,red,15
200676,2024-09-14 07:21:35+07:00,-6.359423,106.825868,red,17
200676,2024-09-14 07:21:50+07:00,-6.359443,106.827155,red,40
200676,2024-09-14 07:22:20+07:00,-6.361025,106.829568,red,24
200676,2024-09-14 07:22:25+07:00,-6.361223,106.829728,red,25
200676,2024-09-14 07:23:12+07:00,-6.362513,106.831755,red,23
200676,2024-09-14 07:23:56+07:00,-6.359218,106.83122,red,32
200676,2024-09-14 07:24:26+07:00,-6.356984,106.830255,red,38
200676,2024-09-14 07:24:41+07:00,-6.355696,106.830343,red,29
200676,2024-09-14 07:24:46+07:00,-6.355411,106.830533,red,27
200676,2024-09-14 07:25:01+07:00,-6.354493,106.831319,red,34
200676,2024-09-14 07:25:16+07:00,-6.353414,106.831733,red,23
200676,2024-09-14 07:25:26+07:00,-6.352885,106.831763,red,13
200676,2024-09-14 07:26:15+07:00,-6.351278,106.831494,red,10
200676,2024-09-14 07:26:25+07:00,-6.350815,106.831558,red,24
200676,2024-09-14 07:26:51+07:00,-6.348825,106.83157,red,33
200676,2024-09-14 07:27:25+07:00,-6.348303,106.828528,red,28
200676,2024-09-14 07:27:50+07:00,-6.348666,106.826953,red,32
200676,2024-09-14 07:28:05+07:00,-6.349811,106.826326,red,35
200676,2024-09-14 07:28:56+07:00,-6.353133,106.825331,red,6
200676,2024-09-14 07:28:57+07:00,-6.353131,106.825306,red,7
200676,2024-09-14 07:29:24+07:00,-6.352318,106.82559,red,24
200676,2024-09-14 07:29:54+07:00,-6.350614,106.826133,red,33
200676,2024-09-14 07:33:32+07:00,-6.348738,106.826775,red,4
200676,2024-09-14 07:42:33+07:00,-6.348605,106.826846,red,7
200676,2024-09-14 07:43:58+07:00,-6.34842,106.829833,red,0
200676,2024-09-14 07:44:13+07:00,-6.348415,106.830148,red,17
200676,2024-09-14 07:45:26+07:00,-6.350823,106.831703,red,0
200676,2024-09-14 07:46:10+07:00,-6.351003,106.831619,red,1
200676,2024-09-14 07:47:05+07:00,-6.35101,106.831623,red,0
200676,2024-09-14 07:47:50+07:00,-6.35101,106.831623,red,0
200676,2024-09-14 07:48:25+07:00,-6.351266,106.831615,red,13
200676,2024-09-14 07:48:30+07:00,-6.351399,106.831606,red,16
200676,2024-09-14 07:49:29+07:00,-6.354088,106.831641,red,25
200676,2024-09-14 07:50:19+07:00,-6.358141,106.831115,red,26
200676,2024-09-14 07:50:59+07:00,-6.3595,106.831418,red,0
200676,2024-09-14 07:51:27+07:00,-6.359641,106.831418,red,4
200676,2024-09-14 07:52:17+07:00,-6.360069,106.831493,red,0
200676,2024-09-14 07:52:55+07:00,-6.361241,106.831695,red,5
200676,2024-09-14 07:54:07+07:00,-6.363735,106.832028,red,50
